,action,s0,s1,s2,s3,s4,l0,l1,l2,l3,l4
68,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
69,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
70,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
73,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
74,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
76,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
77,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
78,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
82,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
83,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
84,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
85,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
86,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
87,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
88,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
89,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
90,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
91,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
92,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
94,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
95,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
