,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
465,4,7,0,0,0,0,1
466,7,10,0,1,0,0,1
467,10,9,1,1,0,2,1
468,9,11,1,1,2,2,1
469,11,12,1,1,2,1,1
470,12,13,1,1,1,0,1
471,13,14,1,1,0,2,1
472,14,15,1,1,2,2,1
473,15,16,1,1,2,2,1
474,16,17,1,1,2,2,1
475,17,10,1,1,2,0,1
476,10,7,1,0,0,0,1
477,7,0,0,0,0,2,1
478,0,1,0,0,2,2,1
479,1,2,0,0,2,2,1
480,2,3,0,0,2,1,1
481,3,4,0,0,1,0,1
482,4,5,0,0,0,2,1
483,5,6,0,0,2,2,1
484,6,8,0,0,2,2,1
485,8,1,0,0,2,2,1
486,1,7,0,0,2,0,1
487,7,10,0,1,0,0,1
488,10,9,1,1,0,2,1
489,9,11,1,1,2,2,1
490,11,12,1,1,2,1,1
491,12,13,1,1,1,0,1
492,13,14,1,1,0,2,1
493,14,15,1,1,2,2,1
494,15,16,1,1,2,2,1
495,16,17,1,1,2,2,1
496,17,9,1,1,2,2,1
497,9,12,1,1,2,1,1
498,12,10,1,1,1,0,1
499,10,7,1,0,0,0,1
500,7,0,0,0,0,2,1
501,0,1,0,0,2,2,1
502,1,2,0,0,2,2,1
503,2,3,0,0,2,1,1
504,3,4,0,0,1,0,1
505,4,5,0,0,0,2,1
506,5,6,0,0,2,2,1
507,6,8,0,0,2,2,1
508,8,0,0,0,2,2,1
509,0,3,0,0,2,1,1
510,3,7,0,0,1,0,1
511,7,10,0,1,0,0,1
512,10,9,1,1,0,2,1
513,9,11,1,1,2,2,1
514,11,12,1,1,2,1,1
515,12,13,1,1,1,0,1
516,13,14,1,1,0,2,1
517,14,15,1,1,2,2,1
518,15,16,1,1,2,2,1
519,16,17,1,1,2,2,1
520,17,9,1,1,2,2,1
521,9,11,1,1,2,2,1
522,11,10,1,1,2,0,1
523,10,7,1,0,0,0,1
524,7,0,0,0,0,2,1
525,0,1,0,0,2,2,1
526,1,2,0,0,2,2,1
527,2,3,0,0,2,1,1
528,3,4,0,0,1,0,1
529,4,5,0,0,0,2,1
530,5,6,0,0,2,2,1
531,6,8,0,0,2,2,1
532,8,7,0,0,2,0,1
533,7,10,0,1,0,0,1
